"Query,Intent"
"what is the earliest united airlines flight flying from denver to baltimore and arriving on july fourth,Non-Banking"
"what is the cheapest flight on american airlines from cleveland to miami,Non-Banking"
"i want to leave boston at 838,Non-Banking"
"What is the address of the nearest restaurant?,Non-Banking"
"How do I get money from an ATM using my card? I can't seem to get it to work? I used the pin I had, but maybe it's wrong? What do I need to do to fix this?,Banking"
"what delta flights are available from pittsburgh to san francisco,Non-Banking"
"what is the lowest fare united charges between boston and san francisco,Non-Banking"
"I'm seeing a direct debit payment that is not me.,Banking"
"will you be able to activate my card,Banking"
"Can you type back to me? Can you recommend a course in mechanical engineering?,Non-Banking"
"Use text to respond to me. What's the difficulty level of the Android Game Development Fundamentals course?,Non-Banking"
"I want a refund for an item,Banking"
"show me the flights going from pittsburgh to san francisco on monday,Non-Banking"
"I made a cash deposit to my account but it is not there,Banking"
"Why did the app deny my top-up?,Banking"
"My money has disappeared. I had recently added money in, and saw it was there and went through. Now it's gone. What is happening?,Banking"
"How much will it be in order to pay with a bank transfer using SEPA?,Banking"
"unsupported transfer declined,Banking"
"Use voice to reply.,Non-Banking"
"all flights from baltimore to philadelphia less than 1000 dollars,Non-Banking"
"What do I do now my credit card has been swallowed by the ATM?,Banking"
"show me the flights from philadelphia to baltimore in the morning,Non-Banking"
"list the fares of us air flights from boston to philadelphia,Non-Banking"
"My bank is asking for CKYC details. What is it?,Banking"
"Switch on audio mode. How do I advocate for inclusive curriculum policies?,Non-Banking"
"What do I have to do to get my PIN unblocked?,Banking"
"How do I fill out the identity check?,Banking"
"show me flights from denver to philadelphia arriving after 2100,Non-Banking"
"I sent a payment but now it's not showing up.,Banking"
"I am out of money in my account and I was wondering if I could do a bank transfer is put more in it?,Banking"
"I need a second card, can I have more than one?,Banking"
"I really need to top-up my card today urgently but my card keeps getting declined!! Can you please help me with this problem or let me know if you have any alternatives,Banking"
"show all flights from pittsburgh to san francisco,Non-Banking"
"i need a flight from baltimore to seattle,Non-Banking"
"I need to know where do my funds come from,Banking"
"how much does it cost to fly directly from philadelphia to san francisco on american airlines,Non-Banking"
"My wallet was taken and I see that someone is using my card! Please help me!,Banking"
"what is the latest flight available between san francisco and boston,Non-Banking"
"When I topped up the app has seemed to reverted it.,Banking"
"I was refunded the money for something I bought already.,Banking"
"My top-up didn't go through,Banking"
"Hi, need some guidance on this,Non-Banking"
"I want to learn about mobile app development, can you help?,Non-Banking"
"what is your last trip on august twenty seventh from washington to boston,Non-Banking"
"Where do I go to fill out the identity form?,Banking"
"There is a weird payment in my statement.,Banking"
"Can I get an actual card,Banking"
"What's the latest news in technology?,Non-Banking"
"I’m configuring a RAID with multiple disk banks—any tips?,Non-Banking"
"show me the price of all flights from atlanta to washington dc,Non-Banking"
"show me flights from atlanta to baltimore,Non-Banking"
"I am having some difficulty verifying my id.,Banking"
"My card has been declined by two separate ATM, and I'm worried something is wrong with my account. Would you please see if my account is okay?,Banking"
"please list all flights leaving on thursday morning from new york city to toronto,Non-Banking"
"I need to urgently transfer something from China. How long will it approximately take?,Banking"
"Please tell me why the same transaction is showing up on my account more than once.,Banking"
"Why did the ATM eat my card?,Banking"
"Can I add more modules to the memory bank in this setup?,Non-Banking"
"The transfer to my account was not allowed.,Banking"
"The transger I tried to make failed.,Banking"
"Why was my transfer request decline?,Banking"
"I am wondering if International Transfers take longer. I a made a transfer from France two days ago and believed it would be here already. Please let me know when I will get it!,Banking"
"When will my top-up go through?,Banking"
"how many delta flights leave from washington,Non-Banking"
"Help! My account doesn't show any funds. Is transferring funds an option I can use?,Banking"
"I saw that my transfer was declined.,Banking"
"My cash withdrawl has the wrong rate of exchange.,Banking"
"I have cash deposit to my account but it is experiencing a problem,Banking"
"okay that one's great too now we're going to go on april twenty second dallas to washington the latest nighttime departure one way,Non-Banking"
"How does one send me money?,Banking"
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.,Banking"
"How do I create a LinkedIn profile?,Non-Banking"
"Open the landing page for Business Strategy Planning.,Non-Banking"
"What ID do I need to verify my identity?,Banking"
"I have duplicated transactions on my statement,Banking"
"please give me all the flights from long beach california to memphis tennessee,Non-Banking"
"Can you reply with sound? How do I use the calendar feature on the platform?,Non-Banking"
"Does it cost extra to exchange foreign currencies?,Banking"
"I thought that transfers are free. Why was I charged an extra fee?,Banking"
"Why would a cash withdrawal still be pending?,Banking"
"list all daily flights between boston and oakland using american airlines,Non-Banking"
"show me all flights from san francisco to washington dc area,Non-Banking"
"Are there any courses in language learning?,Non-Banking"
"I need to exchange my GBP to AUD, how would I do this?,Banking"
"what flight leaves dallas for atlanta on august twenty seventh in the evening,Non-Banking"
"give me a flight between boston and denver,Non-Banking"
"Can you respond with your voice?,Non-Banking"
"Why is a transfer I have still pending?,Banking"
"which delta flights fly from boston to philadelphia,Non-Banking"
"I want you to talk to me.,Non-Banking"
"How do you decide what your exchange rates are?,Banking"
"I'm not happy with the services I'm getting with this company. Can you please delete my account?,Banking"
"Hi, need some guidance,Non-Banking"
"i need a flight delta airlines kansas city to salt lake,Non-Banking"
"Hi, can we talk for a minute?,Non-Banking"
"My account is frozen, not because of the river bank flood!,Banking"
"please give me a list of all the flights between dallas and baltimore and their cost,Non-Banking"
"please list the american airlines flights from philadelphia to dallas on tuesday october first,Non-Banking"
"i need a flight from kansas city to newark on the first of july,Non-Banking"
"My statement has not shown my refund.,Banking"
"Are you a real person or bot?,Non-Banking"
"You did not give me the correct exchange rate for an item that I bought.,Banking"
"Suddenly, my card won't work.,Banking"
"what are the flights on tuesday october first from atlanta to baltimore,Non-Banking"
